"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"The Hamlet","H","040","Jefferson Livery Stable","Office/store","Context (text, as interpreted)","""That Will Be Fine"", Absalom, Absalom!, Flags in the Dust, Sanctuary, The Mansion, The Reivers , The Sound and the Fury, The Town","1 190","800","<p>A drummer rents the ""best turnabout"" the Jefferson stable has in his brief courtship of Eula Varner (147).</p>","","","","","","","","","Jefferson Livery Stable","Continuous","Livery Stable","Site of Event","","","","",""
"The Hamlet","H","024","Tulls' Farm","Farm","Speculation","""Shingles for the Lord"", As I Lay Dying, Sanctuary, The Town","1 839","1 401","<p>Tull's farm is one of the Yoknapatawpha locations that Faulkner moves around to suit the demands of his various fictions; however, it is always near Frenchman's Bend.  In this novel Flem and I.O. Snopes apparently board here for a while.</p>","","","","","","","","","Tull's Farm","Continuous","Farm House","Only Mentioned in Text","","","","",""
"The Unvanquished","UV","729","Road between Jefferson and Oxford","OutOfYoknapatawpha","Text (when unambiguous)","Flags in the Dust","2 345","335","<p>This 40-mile road connects Jefferson and Oxford, Mississippi. Bayard travels this ""long road"" several times a year when he has a break from his studies at the University (217). Ringo travels this road twice in one night to bring Bayard back home.</p>","","","","","","","","","Road to Oxford","Continuous","Country Road","Site of Event","","","","",""
"""Fool About a Horse""","FAH","265","Kentucky","OutOfYoknapatawpha","Text (when unambiguous)","""Appendix: Compson"", The Reivers , The Sound and the Fury","2 440","922","<p>The state of Kentucky is often synonymous with horse-breeding and -racing.  Pap is hoping to use that when he tries to claim that his new horse ""come from Kentucky"" (122).</p>","","","","","","","","","Kentucky","Continuous","State","Only Mentioned in Text","","","","",""
"""Fool About a Horse""","FAH","032","Jefferson Doctor's Office","Office/store","Context (text, as interpreted)","As I Lay Dying, Flags in the Dust, The Reivers , The Sound and the Fury, The Town","1 310","779","<p>Although Pap calls it ""Doc Peabody's store"" when he sends the narrator there to buy a ""pint of whiskey"" (129), this is certainly the office of Doctor Lucius Peabody, a location that Faulkner's readers can visit in other texts, including all of the first three Yoknapatawpha novels.  This is the only text, though, where someone buys liquor from the Doc; although Yoknapatawpha, like all of Mississippi at the time, is dry, presumably he can dispense it for medicinal purposes.</p>","","","","","","","","","Doc Peabody's","Continuous","Doctor's Office","Only Mentioned in Text","","","","",""
"""Fool About a Horse""","FAH","209","Jefferson Hardware Store","Office/store","Context (text, as interpreted)","Flags in the Dust, The Hamlet, The Mansion, The Reivers , The Sound and the Fury, The Town","1 291","854","<p>The milk separator that the narrator's mother wants is sold in a hardware store.  A number of Yoknapatawpha texts include hardware stores in town; in Faulkner's first two novels the store is owned by Watts and Earl, respectively.  Here is belong to ""Uncle Ike McCaslin"" (121) appears in various roles several Yoknapatawpha texts as well (121), including the central one in <em>Go Down, Moses</em> (1942), but either as a hunter or a carpenter rather than a small businessman.  In this short story, however, the store (and the ""warehouse"" behind it, and even the ""alley"" behind it; 129, 128) are all identified with Ike.  He again owns the hardware store in Faulkner's last three novels, <em>The Mansion</em>, <em>The Town</em> and <em>The Reivers</em>.</p>","","","","","","","","","Ike McCaslin's Hardware Store","Continuous","Hardware Store","Site of Event","","","","","The Reivers"
"""Fool About a Horse""","FAH","767","Pat Stamper Camp Site","Other Structure","Context (text, as interpreted)","The Hamlet","1 388","915","<p>The itinerant horse trader Pat Stamper has set up a temporary ""camp"" in ""Hoke's pasture"" (124).  The camp is elaborate enough to include a ""stock pen"" (129) as well as at least one ""tent"" (131).</p>","","","","","","","","","Pat Stamper's Camp","Continuous","Campsite","Site of Event","","","","",""
"""Fool About a Horse""","FAH","768","Three Mile Bridge","Event","Context (text, as interpreted)","The Hamlet","1 445","1 008","<p>The ""three-mile bridge"" presumably gets its name from being that far from Jefferson (124).  Pap turns the wagon aside into the bushes at that point to prepare his horse to meet Pat Stamper.</p>","","","","","","","","","Three Mile Bridge","Continuous","Bridge","Site of Event","","","","",""
"""Fool About a Horse""","FAH","1284","A Half-Mile from Varner's Store","Event","Context (text, as interpreted)","","1 696","1 442","<p>The narrator and his Pap are on the road to Jefferson, ""about a half mile from Varner's store,"" when the horse Pap just acquired in the swap with Kemp ""pops into a sweat"" and breaks into a run (122).</p>","","","","","","","","","Half-Mile from Varner's Store","Continuous","Country Road","Site of Event","","","","",""
"""Fool About a Horse""","FAH","884","Old Barn beside Road","Farm","Context (text, as interpreted)","The Hamlet","1 496","1 260","<p>The ""old barn . . . fives miles from home"" in which Pap and the narrator take shelter from the rain and get the surprise about their new horse that Pat Stamper had promised (132).</p>","","","","","","","","","Old Barn","Continuous","Barn","Site of Event","","","","",""
"""Fool About a Horse""","FAH","883","Anse Holland's Place","Farm","Context (text, as interpreted)","The Hamlet","1 773","1 379","<p>""Old Man Anse Holland,"" as the narrator refers to him (118), lives within walking distance of the narrator's farm.  He is clearly wealthier than most of the farmers in the area: he owns a number of mules, and ""many"" horses (120), and never seems to miss any of the possessions that Pap trades away.  It seems likely that he is a landlord for whom the narrator's family, and perhaps others in the area, work as tenant farmers, but that is not made explicit.</p>","","","","","","","","","Anse Holland's Place","Continuous","Farm","Site of Event","","","","",""
"""Fool About a Horse""","FAH","882","Beasley Kemp's Farm","Farm","Context (text, as interpreted)","The Hamlet","1 740","1 310","<p>Beasley Kemp is a farmer in Frenchman's Bend who lives somewhere near the narrator, though are only clue to the location of his farm is that the narrator takes it as the sign of a good trade that the horse Pap got from Kemp ""could git up and walk from Beasley Kemp's lot to ourn by itself"" (119).</p>","","","","","","","","","Beasley Kemp's Farm","Continuous","Farm","Site of Event","","","","",""
"""Fool About a Horse""","FAH","861","Tenant Farm on Holland's Land","Farm","Context (text, as interpreted)","","1 822","1 421","<p>The unnamed family to which the narrator belongs lives in Frenchman's Bend, on a farm at some distance beyond Varner's store.  It seems likely that the family are share-croppers and the farm itself belongs to ""Old Man Anse Holland,"" given the way the narrator's Pap freely uses Holland's property - ""bob-wire and busted tools"" and so on (118) - to make horse trades, and tries to ""borrow a mule"" from Holland when he loses his own (134), but this is not made explicit.  Nor does the text provide much detail about the house they live in, though we know it has a ""kitchen"" (134) and a ""gallery,"" or porch (133).  They grow cotton on the field referred to as ""the lower piece"" (134), a phrase that implies another field where corn is grown. The text also mentions the fenced ""lot"" (119), the ""well"" (120) and the ""stable"" (133) that are also part of the property.  There is no mention of a cow.  (In <em>The Hamlet</em> this farm is in a different part of the county, and occupied by Ab Snopes and his first wife.)</p>","","","","","","","","","Pap's Farm","Continuous","White-occupied Cabin; Farm; Spring|Well; Livestock Lot; Stable; Field","Site of Event","","","","",""
"""Fool About a Horse""","FAH","021","Varner's Store","Office/store","Faulkner map","""An Error in Chemistry"", ""By the People"", ""Centaur in Brass"", ""Hand Upon the Waters"", ""Lizards in Jamshyd’s Courtyard"", ""Miss Zilphia Gant"", ""Spotted Horses"", ""The Hound"", ""Tomorrow"", As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, The Hamlet, The Mansion, The Town","1 615","1 408","<p>Varner's store appears in many of the Yoknapatawpha fictions as the social center of Frenchman's Bend.  In appears in this story only briefly, as the place where Pap learns from Jody Varner that his new horse earlier belonged to Pat Stamper.  But even in this brief appearance, we learn about ""them other men"" at the store (122) - the men of the Bend, who regularly gather on the store's front porch to share stories and gossip.</p>","","","","","","","","","Varner's Store","Continuous","Country Store","Site of Event","","","","",""
"""A Point of Law""","POL","880","Jefferson Federal Courthouse","Public building","Context (text, as interpreted)","Go Down, Moses, The Town","1 240","790","<p>The narrative distinguishes the building which houses ""the commissioner's office"" as ""the federal courthouse in Jefferson"" (216), which seems to be a different building than the county courthouse in the Square.  Oxford, Mississippi, the town on which so much of Faulkner's Jefferson is based, is in the U.S. government's Northern District of Mississippi, and does have a federal courthouse building.</p>","","","","","","","","","Federal Courthouse","Continuous","Courthouse","Site of Event","","","","",""
"Go Down, Moses","GDM","880","Jefferson Federal Courthouse","Public building","Context (text, as interpreted)","""A Point of Law"", The Town","1 240","790","<p>The narrative distinguishes the building which houses ""the commissioner's office"" as ""the federal courthouse in Jefferson"" (62), which seems to be a different building than the county courthouse in the Square.  Oxford, Mississippi, the town on which so much of Faulkner's Jefferson is based, is in the U.S. government's Northern District of Mississippi, and does have a federal courthouse building.</p>","","","","","","","","","Federal Courthouse","Continuous","Courthouse","Site of Event","","","","",""
"""A Point of Law""","POL","309","Jackson, Mississippi","OutOfYoknapatawpha","Context (text, as interpreted)","""By the People"", ""Knight's Gambit"", ""Monk"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", Requiem for a Nun, Sanctuary, The Mansion","2 315","425","<p>Nat spends the three weeks between her father and her husband's arrests in ""Jackson"" (220), presumably as part of Lucas' plan to avoid being convicted.  There is a Jackson, Tennessee, that appears in <em>Light in August</em>, but it is more likely that Nat went to Jackson, Mississippi, the state capital that would be about 160 miles from Yoknapatawpha.  (When Faulkner revised this story as part of <em>Go Down, Moses</em> he changed Jackson to Vicksburg, 68.)</p>","","","","","","","","","Jackson","Continuous","City","Only Mentioned in Text","","","","",""
"""A Point of Law""","POL","054","Jefferson Courthouse and Square","Public building","Faulkner map","""A Rose for Emily"", ""Appendix: Compson"", ""Centaur in Brass"", ""Death Drag"", ""Dry September"", ""Elly"", ""Fool About a Horse"", ""Go Down, Moses"", ""Gold Is Not Always"", ""Hair"", ""Lion"", ""Monk"", ""Mule in the Yard"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Pantaloon in Black"", ""Race at Morning"", ""Raid"", ""Retreat"", ""Shall Not Perish"", ""Shingles for the Lord"", ""Skirmish at Sartoris"", ""Smoke"", ""Spotted Horses"", ""That Evening Sun"", ""The Old People"", ""The Tall Men"", ""The Unvanquished"", ""There Was a Queen"", ""Tomorrow"", ""Two Soldiers"", ""Uncle Willy"", ""Vendee"", Absalom, Absalom!, As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Hamlet, The Mansion, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 290","819","<p>The courthouse at the center of the square in the center of Jefferson appears in many of the Yoknapatawpha fictions as the center of the county's social, legal and administrative life.  However, in this story the narrative refers to it as ""the federal courthouse"" rather than the county one (216) - presumably because the crime with which Lucas and George are charged, moonshining, violates a federal statute.  A ""United States Attorney"" is present at their very informal trial (222), but both the commissioner whose office is the scene of one episode and the Judge whose chambers is the scene of another are county rather than federal officials.</p>","","","","","","","","","Courthouse and Square","Continuous","Courthouse and Square; Courthouse|Office; Courthouse|Trial","Site of Event","","","","",""
"""A Point of Law""","POL","212","Parchman Penitentiary","OutOfYoknapatawpha","Text (when unambiguous)","""Go Down, Moses"", ""Monk"", ""Smoke"", ""There Was a Queen"", Go Down, Moses, The Mansion, The Reivers , The Town","2 304","400","<p>Parchman Farm, the state penitentiary in Mississippi, is located in the Delta in the northwestern part of the state.  In operation since 1901, it is a maximum-security prison farm where inmates plow, chop, and pick cotton.</p>","","","","","","","","","Parchman Penitentiary","Continuous","Jail","Only Mentioned in Text","","","","",""
"""A Point of Law""","POL","614","Tenant Farms in Yoknapatawpha","Farm","Context (text, as interpreted)","","1 500","225","<p>This icon represents ""the other farms along the creek"" near the Edmonds place, where tenant farmers working for other landlords live (221).</p>","","","","","","","","","Other Farms Along the Creek","Continuous","Farm","Only Mentioned in Text","","","","",""
"""A Point of Law""","POL","877","George Wilkins' Still Site","Other Structure","Context (text, as interpreted)","Go Down, Moses","1 660","258","<p>According to Lucas, George Wilkins has set up a moonshine still ""in that gully behind the old west field"" (214); the adjective ""old"" here may mean the field is no longer planted.  When the sheriff comes looking for the still, however, it has been relocated to Lucas' own cabin.</p>","","","","","","","","","George Wilkins' Still Site","Destroyed","Moonshiner|Bootlegger; Ditch; Field","Site of Event","","","","","Go Down, Moses"
"""A Point of Law""","POL","878","South Creek Field at Edmonds Plantation","Event","Context (text, as interpreted)","Go Down, Moses","1 766","255","<p>The field that Roth Edmonds calls ""your south creek piece"" when he orders Lucas to finish planting it (215, 218) actually belongs to Edmonds himself; it is one of the fields that Lucas works as a share-cropper on the plantation.  It's either a corn- or a cotton-field.</p>","","","","","","","","","South Creek Cornfield","Continuous","Field","Only Mentioned in Text","","","","",""
"""A Point of Law""","POL","876","Lucas' Still Site","Other Structure","Context (text, as interpreted)","Go Down, Moses","1 720","201","<p>Lucas has been making moonshine whisky for ""almost twenty years"" (213) in ""his secret place in the creek bottom"" (215).</p>","","","","","","","","","Lucas' Still Site","Continuous","Moonshiner|Bootlegger; Bottom","Site of Event","","","","",""
"""A Point of Law""","POL","750","Lucas' Hiding Place|Indian Mound","Event","Context (text, as interpreted)","Go Down, Moses","1 650","193","<p>The narrative locates the place where Lucas hides his dismantled moonshine still ""farther into the [creek] bottom"" than the place where he had originally set it up (215).  The deputy sheriff who finds it while looking for George Wilkins' still calls it ""a brier brake in the creek bottom,"" and says it is ""just where [he] would hide a still"" if he were one of Edmonds' Negro tenant farmers (217).  (A ""brake"" in this usage is a place overgrown with one particular kind of vegetation.)  Interestingly, when Faulkner revised this story for inclusion in the novel <em>Go Down, Moses</em>, he has Lucas hide the still in one of the Indian mounds built by the aboriginal inhabitants of Mississippi, putting the event in a much more complex historical context.</p>","","","","","","","","","Lucas' Hiding Place","Continuous","Bottom","Site of Event","","","","",""
"""A Point of Law""","POL","171","Northeast Road|Jefferson to Beat Four","Event","Faulkner map","""Gold Is Not Always"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Tomorrow"", Flags in the Dust, Go Down, Moses","1 800","385","<p>Both the main gate to the Edmonds plantation and, apparently, Lucas Beauchamp's cabin are on one of Yoknapatawpha county's main roads.  In other texts it is called the northeast road; here it is simply identified as running ""pale and dim"" between the plantation's cotton fields (213).</p>","","","","","","","","","Road past Edmonds' Place","Continuous","Country Road","Site of Event","","","","",""
"""A Point of Law""","POL","028","McCaslin-Edmonds Place","Mansion","Faulkner map","""Go Down, Moses"", ""Gold Is Not Always"", ""Pantaloon in Black"", Go Down, Moses, Intruder in the Dust, The Hamlet, The Reivers , The Unvanquished","1 726","348","<p>The ""big house"" where Roth Edmonds lives at the center of his property is at the end of a ""private road [that] mounts among oaks to [a] crest"" (213).  It is ""seventeen miles"" from Jefferson (218).  In this text readers only get as close to it as Lucas does, when he stands ""on the ground"" and knocks on the front of the ""veranda"" to summon his landlord (214).</p>","","","","","","","","","Edmonds ""Big House""","Continuous","Mansion","Site of Event","","","","",""
"""A Point of Law""","POL","746","Stable on McCaslin-Edmonds Place","Other Structure","Context (text, as interpreted)","""Gold Is Not Always"", Go Down, Moses","1 769","301","<p>""Stable"" may imply horses for most people, but the stable on Roth Edmonds' plantation seems more like a barn (218).  Edmonds clearly owns the stable, and when Faulkner revised this story for inclusion in the novel <em>Go Down, Moses</em> he also made it clear that Edmonds owns the mules stabled inside it.   In this short story, however, it is possible that his tenants own their own livestock: the narrative calls the mule with which Lucas works the corn and cotton fields ""his"" (218), and the ""fat middle-aged mare"" that George harnesses in the stable is explicitly identified as ""Lucas'"" (223).  George also has a mule that is housed in the stable.</p>","","","","","","","","","Stable","Continuous","Stable","Site of Event","","","","",""
"""A Point of Law""","POL","757","George Wilkins' Cabin","Cabin","Context (text, as interpreted)","""Gold Is Not Always"", Go Down, Moses","1 797","273","<p>Like Lucas Beauchamp, George Wilkins lives in a tenant house on Roth Edmonds' plantation.  To hear his wife Nat tell it, Wilkins' house is in very bad shape: she calls it ""dat house whar de back porch is done already fall off of"" and complains that because there is no stove and no well, she has to cook in the chimney and walk half a mile for water (220).  Much of the narrative revolves around Nat's desire for George to fix the place up, at her father's expense; it does not seem as if the landlord has any obligation to do so.</p>","","","","","","","","","George Wilkins' Cabin","Continuous","Negro-occupied Cabin","Site of Event","","","","",""
"""A Point of Law""","POL","131","Lucas Beauchamp's Cabin","Cabin","Context (text, as interpreted)","""Gold Is Not Always"", ""Pantaloon in Black"", Go Down, Moses, Intruder in the Dust","1 879","307","<p>Lucas Beauchamp lives, with his wife and daughter Nat, in a tenant house on Roth Edmonds' plantation.  It sits uphill from the stable, and contains at least three rooms: ""the room where he and his wife slept"" (215), ""the room where his daughter slept"" (215), and a ""kitchen"" (223); it also has an unenclosed ""back porch"" (216).</p>","","","","","","","","","Lucas Beauchamp's House","Continuous","Negro-occupied Cabin","Site of Event","","","","",""
"Go Down, Moses","GDM","828","Smokehouse at McCaslin-Edmonds Place","Other Structure","Context (text, as interpreted)","","","","<p>A smokehouse on the McCaslin-Edmonds place where ""hams and sausage"" (160) are cured.</p>","","","","","","","","","Smokehouse","Continuous","Outbuilding","Only Mentioned in Text","","","","",""
"The Hamlet","H","875","Back Lanes of Frenchman's Bend","YoknapatawphaInset","Text (when unambiguous)","","1 124","1 215","<p>The back route Ratliff and his fellow treasure-seekers take from Bookwright's to the Old Frenchman's place takes them down ""lanes"" that run ""pale between the broad spread of fields"" past ""scattered and remote homesteads"" and then through ""tunnels of trees"" (373).  Apparently he drives this route in the other direction later, on his way to meet Flem Snopes and buy the Old Frenchman's.</p>","","","","","","","","","Back Lanes","Continuous","Country Road","Site of Event","","1860","1400","",""
"The Hamlet","H","1286","Site where Ratliff Meets Flem","YoknapatawphaInset","Text (when unambiguous)","","911","1 129","<p>To keep his negotiations with Flem Snopes for the purchase of the Old Frenchman's place secret, Ratliff drives hurriedly away from the Bend up the road that ""turns off to McCaslin's farm,"" three miles along a ""winding and little-used lane,"" and a mile toward Jefferson on the ""highroad"" to a spot two miles from the hamlet (390).</p>","","","","","","","","","Site where Ratliff Meets Flem","Continuous","Country Road","Site of Event","","1537","1330","",""
"The Hamlet","H","873","Lump Snopes' House","Farm","Speculation","","1 645","1 226","<p>All we know about the place where Lump Snopes lives is that it is ""five miles"" from Mink Snopes' tenant farm (271).</p>","","","","","","","","","Lump Snopes' Place","Continuous","Farm","Only Mentioned in Text","","","","",""
"The Hamlet","H","829","Quiet Road in Frenchman's Bend","YoknapatawphaInset","Context (text, as interpreted)","""The Hound"", The Mansion, The Town","1 216","1 088","<p>Mink kills Houston on a ""dim faint road"" which runs beside a thicket somewhere between his cabin and Houston's land (242).</p>","","","","","","","","","Site of Houston's Killing","Continuous","Country Road","Site of Event","","1850","1255","",""
"The Hamlet","H","831","Rotting Tree where Houston Is Buried","YoknapatawphaInset","Context (text, as interpreted)","""The Hound""","1 278","1 099","<p>After dragging Houston's body for ""better than a mile"" along ""an old logging road, choked with undergrowth and almost indistinguishable now, about two feet below the flat level"" of the creek bottom, Mink Snopes tries to hide it a second time in ""the shell of a once-tremendous pin oak [tree], topless and about ten feet tall"" (249-50).  Nearby are both the ""slough"" into which he throws his gun (257) and the water, called both a ""river"" and a ""stream"" (281), into which he throws Houston's body - or most of it.</p>","","","","","","","","","Rotting Tree","Continuous","Woods|Wilderness; Swamp|Slough; Bottom","Site of Event","","1870","1250","",""
"The Hamlet","H","872","Frenchman's Bend House where Flem Boards","YoknapatawphaInset","Context (text, as interpreted)","","1 048","1 245","<p>Not long after he begins clerking at Varner's store, Flem Snopes boards at the ""home of family about a mile from the store"" (64).</p>","","","","","","","","","House where Flem Boards","Continuous","Lower-class House","Site of Event","","1581","1435","",""
"The Hamlet","H","871","Ambush Site Near Varner House","Event","Context (text, as interpreted)","The Mansion, The Town","1 859","1 455","<p>There is a ""creek ford a half mile away"" from the Varner house, where Eula's suitors often go to try to settle the competition for her by fighting each other, ""silently and savagely"" (146).  Later those suitors join forces to attack McCarron at the same spot.  The narrator mentions that ""there is a house near the ford"" (153).</p>","","","","","","","","","Creek Ford","Continuous","Country Road","Site of Event","","","","",""
"The Hamlet","H","870","Lucy Pate's Childhood Home","Farm","Context (text, as interpreted)","","1 751","1 166","<p>Lucy Pate grew up on a farm ""not three miles"" away from Houston's (228).</p>","","","","","","","","","Lucy Pate's Childhood Home","Continuous","Farm","Only Mentioned in Text","","","","",""
"The Hamlet","H","586","Slough where Ringo Whips Ab Snopes","Event","Speculation","""Vendee"", The Unvanquished","1 398","181","<p>The scene where ""Colonel's boy Bayard and Uncle Buck McCaslin and a nigger"" (Ringo) catch up with Ab Snopes ""in the woods"" and punish him for betraying Rosa Millard is depicted in <em>The Unvanquished</em>, though there is no suggestion there that ""a heated ramrod"" was involved (32).  We locate this event in the same place where the editors of the earlier text speculated it might be.</p>","","","","","","","","","Scene of Ab's Whipping","Continuous","Woods|Wilderness","Site of Event","","","","",""
"The Hamlet","H","858","Grimms' Farm","OutOfYoknapatawpha","Context (text, as interpreted)","""Lizards in Jamshyd’s Courtyard""","2 388","336","<p>Eustace Grimm lives with his wife on a tenant farm ""ten or twelve miles away in the next county"" (387).</p>","","","","","","","","","Eustace Grimm's Place","Continuous","Farm","Only Mentioned in Text","","","","",""
"The Hamlet","H","1258","Carolina in the Civil War","OutOfYoknapatawpha","Text (when unambiguous)","""Skirmish at Sartoris"", ""The Unvanquished"", Absalom, Absalom!, Flags in the Dust, Requiem for a Nun, The Unvanquished","2 514","975","<p>The first shot of the American Civil War was fired by secessionists against the garrison at Fort Sumter, in Charleston harbor on 12 April 1861.  This is ""the news of Sumter"" that was carried to the Old Frenchman's place when it was a prosperous plantation (373).</p>","","","","","","","","","Fort Sumter","Continuous","Combat Zone; Military Base","Only Mentioned in Text","","","","",""
"The Hamlet","H","869","Ratliff's House in Jefferson","House","Context (text, as interpreted)","The Mansion","1 354","856","<p>Ratliff's ""home"" in Jefferson is not described in any detail, but we know that when he goes from it to the Square he can pass by the jail (287).</p>","","","","","","","","","Ratliff's House","Continuous","Lower-class House","Site of Event","","","","",""
"The Hamlet","H","868","Convict Camp","OutOfYoknapatawpha","Context (text, as interpreted)","The Mansion","2 295","440","<p>The ""south Mississippi convict camp"" (244) where Mink Snopes met the woman who became his wife is ""a tract of wildcatted virgin timber"" being logged (262).  The convict labor system was widespread in the South, and in some ways perpetuated the system of slavery.  As the novel's narrator puts it, the white man who runs the camp ""through political influence or bribery or whatever got his convict labor from the State for the price of their board and keep"" (262); the prisoners themselves were not compensated for their work.  This location also includes the ""nearest county seat"" where Mink gets married (264).</p>","","","","","","","","","Convict Camp","Continuous","Jail; Woods|Wilderness; Work Site","Site of Event","","","","",""
"The Hamlet","H","867","Hell","OutOfYoknapatawpha","Speculation","","2 303","1 584","<p>Book Two of <em>The Hamlet</em> ends with an italicized scene in hell, where ""the Prince"" of Darkness dwells in a ""magnificent kingly hall hung about with the proud battle-torn smokes of the old martyrs"" and where one can hear the ""constant screams of authentic Christians"" (168).  Faulkner is obviously being whimsical, but we needed somehow to put the location into our system of maps.  Our choice should be seen as another piece of whimsy.</p>","","","","","","","","","Hell","Continuous","Beyond the Earth","Site of Event","","","","",""
"The Hamlet","H","007","County Jail","Public building","Faulkner map","""A Name for the City"", ""An Error in Chemistry"", ""Go Down, Moses"", ""Monk"", ""Pantaloon in Black"", ""That Evening Sun"", ""The Hound"", Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Mansion, The Town","1 334","785","<p>Like the rest of Yoknapatawpha, the county jail to which Mink Snopes is taken is arranged by the rule of Jim Crow.  He occupies its one cell, which is separated from ""the common room where the negro victims of a thousand petty white man's misdemeanors"" - including ""the chain gang"" made up of blacks who are ""in jail for vagrancy or razor fights or shooting dice"" - eat and sleep together (285).</p>","","","","","","","","","County Jail","Continuous","Jail","Site of Event","","","","",""
"The Hamlet","H","866","Arizona","OutOfYoknapatawpha","Text (when unambiguous)","","2 130","955","<p>During his twelve years living and working outside Yoknapatawpha, Jack Houston spends time ""with a construction gang in Arizona and west Texas"" (234).</p>","","","","","","","","","Arizona","Continuous","State","Site of Event","","","","",""
"The Hamlet","H","269","Kansas","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Light in August","2 292","915","<p>Among the places Jack Houston lives in during the twelve years he travels outside Yoknapatawpha is Kansas, where he works as a ""wheat-hand"" for a while (234).</p>","","","","","","","","","Kansas","Continuous","Field","Site of Event","","","","",""
"The Hamlet","H","598","New Mexico","OutOfYoknapatawpha","Text (when unambiguous)","""Delta Autumn"", Go Down, Moses, Requiem for a Nun","2 203","964","<p>Among the places Jack Houston lives in during the twelve years he travels outside Yoknapatawpha is New Mexico, where he ""herds sheep"" for a time (234).</p>","","","","","","","","","New Mexico","Continuous","Livestock Lot","Site of Event","","","","","Light in August"
"The Hamlet","H","255","Oklahoma","OutOfYoknapatawpha","Text (when unambiguous)","""A Name for the City"", ""Appendix: Compson"", Light in August, Requiem for a Nun, The Town","2 307","963","<p>Jack Houston works as ""a time-keeper"" in a ""railroad construction camp in Oklahoma"" (234).</p>","","","","","","","","","Oklahoma","Continuous","State","Site of Event","","","","",""
"The Hamlet","H","798","Northerner's Goat Farm","Farm","Context (text, as interpreted)","""Lizards in Jamshyd’s Courtyard""","649","800","<p>Ratliff describes the place where northern ""goat-rancher"" is setting up as ""two thousand acres of as fine a hill-gully and rabbit-grass land as ever stood on one edge,"" and locates it ""about fifteen miles west of Jefferson"" (87).</p>","","","","","","","","","Northerner's Goat Ranch","Continuous","Farm","Only Mentioned in Text","","","","",""
"The Hamlet","H","865","Ike Snopes' Retreat","Event","Context (text, as interpreted)","","1 672","1 012","<p>The part of the county where Ike Snopes hides for several days with Houston's cow is ""in the hills, among pines"" (198), near a farm where he steals feed from the barn for both of them to eat.  It includes a ""spring"" in ""a clump of alder and beech"" (202).</p>","","","","","","","","","Ike Snopes' Retreat","Continuous","Woods|Wilderness; Spring|Well","Site of Event","","","","",""
"The Hamlet","H","864","Varner Sharecropper Cabin","Cabin","Context (text, as interpreted)","The Town","1 670","1 195","<p>The ""sagging broken-backed cabin"" where Ab and his family begin working as tenant farmers for the Varners is a grim place: the porch is ""sagging and stepless,"" the windows are ""sashless,"" and the yard is ""littered with rubbish - the ashes, shards of pottery and tin cans - of its last tenants"" (22).</p>","","","","","","","","","Varner Sharecropper Cabin","Continuous","Farm; White-occupied Cabin","Site of Event","","","","",""
"The Hamlet","H","863","Hoake-McCarron Graveyard","Cemetery","Speculation","","1 455","978","<p>Alison Hoake McCarron buries her husband in the same family graveyard ""beside her father and mother""; the burial place is on an ""oak and cedar knoll"" (150).</p>","","","","","","","","","Hoake-McCarron Graveyard","Continuous","Cemetery","Site of Event","","","","",""
"The Hamlet","H","028","McCaslin-Edmonds Place","Farm","Faulkner map","""A Point of Law"", ""Go Down, Moses"", ""Gold Is Not Always"", ""Pantaloon in Black"", Go Down, Moses, Intruder in the Dust, The Reivers , The Unvanquished","1 782","355","<p>The location referred to in this novel as Ike ""McCaslin's farm"" (390) raises several unanswerable questions.  The large McCaslin plantation in northeastern Yoknapatawpha appears in a number of the fictions, but it is never referred to as a ""farm.""  And as readers of <em>Go Down, Moses</em> know, where possession of the property is a major theme, Ike never owns it; by the time of <em>The Hamlet</em> it belongs to Roth Edmunds.  ""Ike McCaslin"" also appears in a number of the texts, but as a hunter, a carpenter and a hardware store owner - never as a ""farmer.""  We have decided to locate the ""farm,"" and the ""old cottonhouse on Ike McCaslin's place"" where Ab Snopes winters after leaving de Spain's (10), on the site of the McCaslin-Edmonds' plantation, but need to acknowledge the uncertainties involved.</p>","","","","","","","","","Ike McCaslin's Farm","Continuous","Farm; Cotton House","Site of Event","","","","",""
